시점	시장금리|MMF7일	시장금리|국고채(1년)	시장금리|국고채(3년)	시장금리|국고채(5년)	시장금리|국고채(10년)	시장금리|국고채(20년)	시장금리|국고채(30년)
20241212	3.35	2.706	2.549	2.628	2.7	2.599	2.531
20241213	3.34	2.694	2.541	2.623	2.676	2.562	2.489
20241216	3.34	2.691	2.553	2.655	2.721	2.648	2.573
20241217	3.34	2.704	2.621	2.731	2.79	2.722	2.654
20241218	3.34	2.664	2.536	2.65	2.738	2.707	2.64
20241219	3.34	2.685	2.603	2.736	2.814	2.755	2.69
20241220	3.32	2.692	2.629	2.775	2.873	2.793	2.723
20241223	3.32	2.689	2.616	2.757	2.844	2.764	2.696
20241224	3.32	2.696	2.626	2.801	2.876	2.818	2.76
20241226	3.32	2.7	2.648	2.809	2.904	2.844	2.773
20241227	3.35	2.695	2.634	2.784	2.876	2.877	2.805
20241230	3.35	2.688	2.597	2.763	2.855	2.876	2.794
20241231	3.35	2.688	2.596	2.762	2.855	2.877	2.793
20250102	3.35	2.659	2.507	2.681	2.749	2.768	2.692
20250103	3.41	2.649	2.482	2.643	2.754	2.74	2.678
20250106	3.41	2.653	2.524	2.685	2.817	2.764	2.707
20250107	3.41	2.643	2.508	2.661	2.794	2.74	2.693
20250108	3.41	2.635	2.505	2.652	2.796	2.725	2.686
20250109	3.41	2.624	2.5	2.627	2.778	2.706	2.678
20250110	3.34	2.636	2.561	2.684	2.837	2.729	2.708
20250113	3.34	2.663	2.664	2.746	2.871	2.769	2.729
20250114	3.34	2.65	2.646	2.736	2.841	2.728	2.684
20250115	3.34	2.653	2.675	2.774	2.86	2.736	2.691
20250116	3.34	2.631	2.626	2.723	2.802	2.717	2.671
20250117	3.29	2.618	2.588	2.688	2.813	2.715	2.67
20250120	3.29	2.628	2.623	2.715	2.868	2.741	2.684
20250121	3.29	2.616	2.579	2.678	2.818	2.721	2.68
20250122	3.29	2.624	2.577	2.69	2.827	2.734	2.682
20250123	3.29	2.632	2.578	2.695	2.837	2.781	2.716
20250124	3.25	2.627	2.57	2.704	2.859	2.798	2.736
20250131	3.24	2.631	2.573	2.701	2.859	2.79	2.743
20250203	3.24	2.644	2.572	2.689	2.835	2.769	2.722
20250204	3.24	2.654	2.584	2.703	2.844	2.782	2.712
20250205	3.24	2.659	2.578	2.684	2.818	2.748	2.67
20250206	3.24	2.66	2.582	2.67	2.796	2.72	2.661
20250207	3.26	2.672	2.635	2.719	2.836	2.739	2.672
20250210	3.26	2.673	2.638	2.713	2.83	2.737	2.682
20250211	3.26	2.673	2.633	2.715	2.849	2.751	2.682
20250212	3.26	2.674	2.651	2.744	2.879	2.772	2.698
20250213	3.26	2.672	2.631	2.732	2.872	2.775	2.716
20250214	3.24	2.666	2.611	2.711	2.846	2.76	2.693
20250217	3.24	2.668	2.623	2.729	2.869	2.774	2.7
20250218	3.24	2.668	2.641	2.75	2.878	2.775	2.692
20250219	3.24	2.66	2.63	2.745	2.873	2.769	2.686
20250220	3.24	2.655	2.628	2.748	2.888	2.779	2.692
20250221	3.19	2.648	2.618	2.73	2.856	2.76	2.678
20250224	3.19	2.638	2.61	2.717	2.825	2.738	2.648
20250225	3.19	2.63	2.596	2.698	2.797	2.734	2.643
20250226	3.19	2.624	2.591	2.676	2.752	2.698	2.598
20250227	3.19	2.623	2.592	2.68	2.754	2.689	2.582
20250228	3.16	2.62	2.566	2.646	2.706	2.645	2.544
20250304	3.16	2.615	2.541	2.629	2.703	2.653	2.556
20250305	3.16	2.627	2.565	2.678	2.773	2.706	2.605
20250306	3.16	2.639	2.594	2.704	2.806	2.723	2.61
20250307	3.09	2.621	2.565	2.678	2.773	2.694	2.581
20250310	3.09	2.63	2.596	2.658	2.801	2.705	2.596
20250311	3.09	2.616	2.56	2.633	2.76	2.674	2.563
20250312	3.09	2.615	2.55	2.619	2.763	2.676	2.566
20250313	3.09	2.604	2.57	2.625	2.77	2.678	2.575
20250314	3.05	2.61	2.596	2.64	2.813	2.693	2.59
20250317	3.05	2.609	2.601	2.647	2.805	2.686	2.585
20250318	3.05	2.602	2.598	2.644	2.788	2.669	2.568
20250319	3.05	2.602	2.621	2.673	2.811	2.67	2.568
20250320	3.05	2.59	2.598	2.658	2.792	2.655	2.548
20250321	3.0	2.592	2.597	2.662	2.805	2.664	2.548
20250324	3.0	2.603	2.604	2.687	2.816	2.694	2.569
20250325	3.0	2.611	2.612	2.7	2.821	2.702	2.586
20250326	3.0	2.615	2.618	2.713	2.839	2.722	2.613
20250327	3.0	2.617	2.622	2.705	2.838	2.713	2.606
20250328	2.98	2.621	2.629	2.71	2.842	2.718	2.616
20250331	2.98	2.607	2.569	2.645	2.771	2.671	2.574
20250401	2.98	2.622	2.581	2.659	2.787	2.695	2.598
20250402	2.98	2.622	2.584	2.653	2.767	2.676	2.576
20250403	2.98	2.592	2.529	2.606	2.738	2.653	2.559
20250404	2.96	2.558	2.461	2.544	2.692	2.615	2.528
20250407	2.96	2.525	2.405	2.491	2.648	2.57	2.473
20250408	2.96	2.535	2.413	2.508	2.686	2.611	2.511
20250409	2.96	2.536	2.434	2.54	2.732	2.652	2.554
20250410	2.96	2.536	2.437	2.514	2.702	2.636	2.535
20250411	2.93	2.513	2.411	2.51	2.696	2.645	2.544
20250414	2.93	2.499	2.408	2.509	2.691	2.625	2.531
20250415	2.93	2.492	2.399	2.499	2.664	2.597	2.501
20250416	2.93	2.467	2.351	2.463	2.629	2.566	2.464
20250417	2.93	2.467	2.385	2.483	2.645	2.579	2.49
20250418	2.9	2.424	2.362	2.464	2.62	2.561	2.464
20250421	2.9	2.416	2.331	2.441	2.602	2.551	2.454
20250422	2.9	2.415	2.33	2.441	2.621	2.578	2.49
20250423	2.9	2.412	2.337	2.437	2.598	2.569	2.483
20250424	2.9	2.411	2.341	2.444	2.623	2.587	2.502
20250425	2.9	2.394	2.305	2.403	2.576	2.555	2.472
20250428	2.9	2.393	2.316	2.414	2.588	2.558	2.468
20250429	2.9	2.39	2.31	2.419	2.603	2.576	2.495
20250430	2.9	2.374	2.267	2.375	2.563	2.545	2.469
20250502	2.87	2.374	2.282	2.394	2.593	2.554	2.474
20250507	2.87	2.35	2.253	2.379	2.603	2.567	2.486
20250508	2.87	2.346	2.281	2.395	2.622	2.598	2.516
20250509	2.85	2.346	2.331	2.448	2.67	2.641	2.551
20250512	2.85	2.341	2.33	2.451	2.685	2.661	2.575
20250513	2.85	2.348	2.37	2.496	2.722	2.682	2.59
20250514	2.85	2.319	2.351	2.482	2.718	2.683	2.582
20250515	2.85	2.314	2.362	2.496	2.727	2.689	2.589
20250516	2.84	2.288	2.319	2.445	2.676	2.665	2.569
20250519	2.84	2.295	2.366	2.501	2.747	2.72	2.631
20250520	2.84	2.281	2.33	2.467	2.713	2.688	2.599
20250521	2.84	2.281	2.345	2.498	2.76	2.72	2.629
20250522	2.84	2.28	2.336	2.493	2.755	2.722	2.632
20250523	2.81	2.282	2.338	2.502	2.766	2.734	2.636
20250526	2.81	2.28	2.348	2.504	2.766	2.732	2.631
20250527	2.81	2.276	2.34	2.478	2.709	2.698	2.587
20250528	2.81	2.27	2.314	2.467	2.706	2.686	2.575
20250529	2.81	2.276	2.341	2.5	2.76	2.718	2.609
20250530	2.8	2.276	2.347	2.521	2.786	2.733	2.629
20250602	2.8	2.271	2.34	2.515	2.793	2.747	2.65
20250604	2.8	2.293	2.414	2.602	2.894	2.865	2.781
20250605	2.74	2.284	2.412	2.597	2.891	2.843	2.754
20250609	2.74	2.278	2.405	2.57	2.867	2.837	2.749
20250610	2.74	2.277	2.385	2.562	2.831	2.829	2.752
20250611	2.74	2.283	2.419	2.581	2.837	2.829	2.746
20250612	2.74	2.285	2.429	2.581	2.827	2.838	2.749
20250613	2.7	2.292	2.462	2.597	2.819	2.81	2.722
20250616	2.7	2.298	2.483	2.623	2.864	2.825	2.749
20250617	2.7	2.279	2.448	2.612	2.868	2.812	2.736
20250618	2.7	2.29	2.472	2.637	2.876	2.828	2.732
20250619	2.7	2.295	2.475	2.64	2.874	2.839	2.743
20250620	2.68	2.292	2.463	2.636	2.867	2.847	2.748
20250623	2.68	2.307	2.498	2.662	2.873	2.86	2.762
20250624	2.68	2.297	2.461	2.616	2.823	2.832	2.738
20250625	2.68	2.298	2.46	2.619	2.82	2.82	2.728
20250626	2.68	2.294	2.454	2.599	2.788	2.785	2.693
20250627	2.67	2.304	2.453	2.585	2.785	2.813	2.726
20250630	2.67	2.302	2.452	2.591	2.805	2.832	2.747
20250701	2.67	2.301	2.454	2.581	2.784	2.79	2.696
20250702	2.67	2.31	2.483	2.619	2.832	2.824	2.723
20250703	2.67	2.302	2.449	2.595	2.814	2.807	2.712
20250704	2.67	2.311	2.467	2.62	2.828	2.825	2.727
20250707	2.67	2.313	2.482	2.637	2.84	2.845	2.749
20250708	2.67	2.31	2.477	2.635	2.847	2.845	2.748
20250709	2.67	2.309	2.478	2.636	2.854	2.843	2.744
20250710	2.67	2.295	2.433	2.592	2.814	2.817	2.722
20250711	2.62	2.303	2.448	2.604	2.823	2.81	2.717
20250714	2.62	2.313	2.474	2.652	2.886	2.855	2.757
20250715	2.62	2.308	2.463	2.644	2.877	2.846	2.744
20250716	2.62	2.307	2.459	2.642	2.877	2.856	2.755
20250717	2.62	2.317	2.479	2.663	2.905	2.881	2.783
20250718	2.6	2.315	2.474	2.645	2.873	2.86	2.763
20250721	2.6	2.311	2.456	2.628	2.855	2.855	2.757
20250722	2.6	2.314	2.463	2.622	2.839	2.835	2.737
20250723	2.6	2.314	2.458	2.615	2.83	2.833	2.738
20250724	2.6	2.316	2.467	2.626	2.849	2.845	2.753
20250725	2.56	2.318	2.485	2.637	2.855	2.844	2.752
20250728	2.56	2.31	2.464	2.615	2.829	2.829	2.736
20250729	2.56	2.3	2.46	2.613	2.823	2.83	2.737
20250730	2.56	2.295	2.454	2.598	2.797	2.81	2.714
20250731	2.56	2.297	2.46	2.588	2.785	2.811	2.707
20250801	2.58	2.303	2.478	2.623	2.832	2.851	2.748
20250804	2.58	2.266	2.421	2.569	2.778	2.803	2.709
20250805	2.58	2.267	2.425	2.561	2.766	2.792	2.698
20250806	2.58	2.269	2.43	2.569	2.779	2.8	2.713
20250807	2.58	2.263	2.408	2.551	2.772	2.796	2.699
20250808	2.54	2.263	2.409	2.554	2.776	2.792	2.697
20250811	2.54	2.266	2.42	2.565	2.781	2.794	2.698
20250812	2.54	2.27	2.431	2.582	2.801	2.818	2.72
20250813	2.54	2.265	2.417	2.572	2.809	2.838	2.738
20250814	2.55	2.261	2.404	2.556	2.787	2.821	2.726
20250818	2.55	2.266	2.426	2.592	2.837	2.862	2.757
20250819	2.55	2.268	2.444	2.613	2.858	2.874	2.772
20250820	2.55	2.267	2.441	2.611	2.853	2.865	2.76
20250821	2.55	2.266	2.438	2.605	2.845	2.856	2.75
20250822	2.53	2.269	2.456	2.624	2.86	2.871	2.766
20250825	2.53	2.258	2.434	2.602	2.852	2.864	2.768
20250826	2.53	2.25	2.422	2.596	2.86	2.887	2.79
20250827	2.53	2.24	2.402	2.569	2.825	2.863	2.763
20250828	2.53	2.244	2.416	2.576	2.815	2.862	2.765
20250829	2.52	2.248	2.426	2.583	2.815	2.856	2.753
20250901	2.52	2.253	2.435	2.597	2.847	2.884	2.78
20250902	2.52	2.258	2.45	2.619	2.87	2.903	2.796
20250903	2.52	2.268	2.475	2.654	2.913	2.929	2.82
20250904	2.52	2.269	2.472	2.643	2.883	2.906	2.798
20250905	2.53	2.27	2.46	2.62	2.855	2.887	2.783
20250908	2.53	2.269	2.448	2.608	2.848	2.875	2.773
20250909	2.53	2.266	2.425	2.582	2.818	2.855	2.753
20250910	2.53	2.275	2.43	2.566	2.833	2.822	2.75
20250911	2.53	2.273	2.42	2.557	2.813	2.812	2.736
20250912	2.54	2.277	2.431	2.564	2.813	2.805	2.731
20250915	2.54	2.278	2.443	2.584	2.821	2.812	2.73
20250916	2.54	2.266	2.417	2.565	2.804	2.794	2.707
20250917	2.54	2.266	2.418	2.564	2.787	2.788	2.693
20250918	2.54	2.262	2.403	2.544	2.756	2.758	2.667
20250919	2.52	2.276	2.441	2.583	2.815	2.793	2.693
20250922	2.52	2.283	2.459	2.606	2.833	2.804	2.703
20250923	2.52	2.285	2.46	2.598	2.813	2.8	2.709
20250924	2.52	2.291	2.489	2.629	2.848	2.825	2.734
20250925	2.52	2.303	2.528	2.673	2.885	2.843	2.769
20250926	2.54	2.318	2.562	2.716	2.943	2.879	2.812
20250929	2.54	2.322	2.563	2.721	2.939	2.887	2.818
20250930	2.54	2.325	2.582	2.734	2.951	2.916	2.841
20251001	2.54	2.326	2.596	2.748	2.96	2.91	2.829
20251002	2.53	2.314	2.581	2.729	2.959	2.911	2.821
20251010	2.53	2.318	2.591	2.731	2.964	2.911	2.819
20251013	2.53	2.303	2.554	2.677	2.904	2.861	2.767
20251014	2.53	2.298	2.533	2.649	2.871	2.837	2.749
20251015	2.53	2.295	2.52	2.64	2.856	2.826	2.744
20251016	2.53	2.311	2.569	2.684	2.908	2.866	2.792
20251017	2.53	2.304	2.555	2.666	2.885	2.845	2.776
20251020	2.53	2.31	2.569	2.687	2.892	2.856	2.781
20251021	2.53	2.321	2.6	2.711	2.904	2.87	2.79
20251022	2.53	2.308	2.572	2.687	2.869	2.845	2.768
20251023	2.53	2.324	2.605	2.721	2.912	2.887	2.804
20251024	2.51	2.318	2.591	2.716	2.913	2.892	2.809
20251027	2.51	2.33	2.62	2.756	2.959	2.937	2.85
20251028	2.51	2.336	2.633	2.751	2.935	2.936	2.835
20251029	2.51	2.372	2.677	2.798	2.984	2.977	2.882
20251030	2.51	2.449	2.732	2.857	3.05	3.035	2.947
20251031	2.52	2.438	2.716	2.855	3.061	3.068	2.985
20251103	2.52	2.448	2.741	2.883	3.086	3.094	3.009
20251104	2.52	2.446	2.729	2.879	3.082	3.104	3.025
20251105	2.52	2.46	2.767	2.918	3.125	3.132	3.052
20251106	2.52	2.505	2.834	2.993	3.203	3.19	3.121
20251107	2.52	2.529	2.894	3.043	3.226	3.213	3.139
20251110	2.52	2.523	2.865	3.035	3.23	3.228	3.14
20251111	2.52	2.506	2.831	2.991	3.201	3.205	3.126
20251112	2.52	2.54	2.923	3.088	3.282	3.275	3.2
20251113	2.52	2.537	2.932	3.084	3.267	3.254	3.176
20251114	2.54	2.537	2.944	3.126	3.317	3.316	3.242
20251117	2.54	2.52	2.914	3.105	3.301	3.311	3.238
20251118	2.54	2.486	2.872	3.068	3.268	3.283	3.214
20251119	2.54	2.478	2.869	3.072	3.281	3.288	3.223
20251120	2.54	2.475	2.908	3.115	3.325	3.322	3.257
20251121	2.55	2.45	2.872	3.076	3.271	3.277	3.219
20251124	2.55	2.458	2.904	3.107	3.289	3.282	3.217
20251125	2.55	2.459	2.902	3.099	3.264	3.25	3.17
20251126	2.55	2.457	2.895	3.084	3.251	3.238	3.164
20251127	2.55	2.522	3.013	3.197	3.351	3.315	3.237
20251128	2.59	2.517	2.991	3.176	3.344	3.313	3.22
20251201	2.59	2.544	3.045	3.233	3.387	3.352	3.253
20251202	2.59	2.535	3.022	3.211	3.346	3.345	3.254
20251203	2.59	2.541	3.041	3.246	3.368	3.366	3.265
20251204	2.59	2.524	3.025	3.229	3.376	3.356	3.258
20251205	2.61	2.509	2.994	3.198	3.358	3.323	3.211
20251208	2.61	2.521	3.034	3.239	3.401	3.34	3.217
20251209	2.61	2.535	3.084	3.302	3.453	3.376	3.243
20251210	2.61	2.544	3.095	3.336	3.371	3.383	3.269
20251211	2.61	2.578	3.101	3.361	3.378	3.377	3.257
20251212	2.65	2.582	3.093	3.35	3.409	3.342	3.228
20251215	2.65	2.557	3.0	3.259	3.325	3.278	3.178
20251216	2.65	2.555	2.999	3.244	3.313	3.265	3.179
20251217	2.65	2.557	2.996	3.227	3.324	3.287	3.206
20251218	2.65	2.545	2.967	3.196	3.312	3.322	3.238
20251219	2.69	2.567	3.01	3.24	3.342	3.341	3.246
20251222	2.69	2.558	2.999	3.245	3.359	3.337	3.249
20251223	2.69	2.553	2.963	3.242	3.379	3.358	3.259
20251224	2.69	2.554	2.939	3.211	3.345	3.336	3.239
20251226	2.71	2.559	2.958	3.24	3.374	3.358	3.267
20251229	2.71	2.55	2.939	3.226	3.354	3.329	3.233
20251230	2.71	2.556	2.952	3.24	3.385	3.357	3.257
20251231	2.71	2.556	2.953	3.24	3.385	3.357	3.258
20260102	2.75	2.551	2.935	3.239	3.386	3.353	3.255
20260105	2.75	2.552	2.933	3.249	3.396	3.373	3.274
20260106	2.75	2.545	2.948	3.244	3.398	3.359	3.248
20260107	2.75	2.523	2.91	3.185	3.354	3.325	3.224
20260108	2.75	2.517	2.902	3.163	3.341	3.323	3.228
20260109	2.74	2.521	2.942	3.192	3.386	3.36	3.254
20260112	2.74	2.523	2.98	3.212	3.392	3.344	3.24
20260113	2.74	2.526	3.003	3.242	3.412	3.373	3.275
20260114	2.74	2.525	2.996	3.24	3.418	3.378	3.275
20260115	2.74	2.558	3.09	3.324	3.493	3.441	3.334
20260116		2.556	3.08	3.32	3.488	3.433	3.323
